episode,return,length
1040,18.0,208
1041,48.0,366
1042,10.0,181
1043,10.0,181
1044,16.0,208
1045,-10.0,71
1046,-14.0,43
1047,30.0,288
1048,-10.0,71
1049,15.0,208
1050,86.0,567
1051,10.0,181
1052,-10.0,71
1053,45.0,366
1054,-15.0,43
1055,-9.0,71
1056,5.0,154
1057,43.0,341
1058,5.0,130
1059,12.0,181
1060,3.0,127
1061,33.0,288
1062,-10.0,71
1063,0.0,127
1064,21.0,235
1065,-15.0,43
1066,45.0,366
1067,6.0,154
1068,21.0,235
1069,49.0,366
1070,-5.0,99
1071,6.0,154
1072,-10.0,71
1073,-15.0,43
1074,10.0,181
1075,27.0,262
1076,20.0,235
1077,60.0,443
1078,-10.0,71
1079,22.0,235
1080,16.0,208
1081,41.0,341
1082,15.0,208
1083,-9.0,71
1084,25.0,262
1085,67.0,468
1086,27.0,262
1087,-9.0,71
1088,-15.0,43
1089,0.0,127
1090,0.0,127
1091,40.0,341
1092,1.0,127
1093,6.0,154
1094,-5.0,99
1095,20.0,235
1096,51.0,392
1097,0.0,109
1098,76.0,493
1099,67.0,468
1100,40.0,341
1101,-15.0,43
1102,-15.0,43
1103,38.0,314
1104,95.0,615
1105,38.0,314
1106,21.0,235
1107,63.0,443
1108,63.0,443
1109,56.0,417
1110,6.0,154
1111,-9.0,71
1112,31.0,288
1113,0.0,127
1114,20.0,235
1115,10.0,158
1116,32.0,288
1117,10.0,181
1118,2.0,127
1119,0.0,127
1120,-5.0,99
1121,51.0,392
1122,20.0,235
1123,-5.0,99
1124,26.0,262
1125,16.0,208
1126,55.0,417
1127,-10.0,71
1128,15.0,208
1129,-5.0,99
1130,-8.0,71
1131,11.0,181
1132,30.0,288
1133,36.0,314
1134,-8.0,71
1135,0.0,127
1136,75.0,493
1137,35.0,314
1138,38.0,314
1139,-15.0,43
1140,1.0,127
1141,10.0,181
1142,22.0,235
1143,71.0,493
1144,33.0,288
1145,11.0,181
1146,33.0,288
1147,20.0,235
1148,-4.0,99
1149,20.0,235
1150,-10.0,71
1151,-10.0,71
1152,57.0,417
1153,35.0,314
1154,10.0,181
1155,16.0,208
1156,-10.0,71
1157,36.0,314
1158,1.0,127
1159,31.0,288
1160,-10.0,71
1161,-4.0,99
1162,11.0,181
1163,27.0,262
1164,41.0,341
1165,-10.0,71
1166,45.0,366
1167,-10.0,71
1168,47.0,366
1169,53.0,392
1170,-15.0,43
1171,-4.0,99
1172,0.0,127
1173,0.0,127
1174,20.0,235
1175,-10.0,54
1176,14.0,181
1177,-4.0,99
1178,30.0,288
1179,90.0,591
1180,-15.0,43
1181,38.0,314
1182,27.0,262
1183,0.0,127
1184,-4.0,99
1185,10.0,181
1186,-4.0,99
1187,37.0,314
1188,31.0,288
1189,-2.0,99
1190,30.0,288
1191,-3.0,99
1192,45.0,366
1193,25.0,262
1194,-14.0,43
1195,26.0,262
1196,-5.0,99
1197,31.0,288
1198,39.0,314
1199,36.0,314
1200,65.0,468
1201,54.0,392
1202,30.0,288
1203,25.0,262
1204,26.0,262
1205,77.0,518
1206,5.0,154
1207,26.0,262
1208,5.0,154
1209,-14.0,43
1210,20.0,235
1211,31.0,288
1212,-4.0,99
1213,61.0,443
1214,-5.0,99
1215,13.0,181
1216,33.0,288
1217,32.0,288
1218,-4.0,99
1219,22.0,235
1220,-9.0,71
1221,6.0,134
1222,25.0,262
1223,26.0,262
1224,20.0,235
1225,12.0,181
1226,-10.0,71
1227,17.0,208
1228,5.0,154
1229,10.0,181
1230,0.0,127
1231,-4.0,99
1232,71.0,493
1233,50.0,392
1234,-15.0,43
