episode,return,length
939,0.0,127
940,-5.0,99
941,21.0,235
942,30.0,266
943,-4.0,99
944,6.0,154
945,25.0,262
946,-3.0,99
947,-9.0,71
948,0.0,127
949,-15.0,43
950,0.0,127
951,-15.0,43
952,-4.0,99
953,-10.0,71
954,21.0,235
955,-15.0,43
956,11.0,181
957,15.0,208
958,-15.0,43
959,10.0,181
960,20.0,235
961,10.0,158
962,6.0,154
963,-10.0,71
964,-10.0,71
965,55.0,417
966,-5.0,99
967,3.0,127
968,6.0,154
969,-4.0,99
970,10.0,181
971,50.0,392
972,-4.0,99
973,66.0,468
974,16.0,196
975,12.0,181
976,-10.0,71
977,20.0,235
978,75.0,518
979,-10.0,68
980,42.0,341
981,-10.0,71
982,51.0,392
983,15.0,208
984,0.0,127
985,5.0,154
986,-15.0,43
987,84.0,542
988,82.0,542
989,70.0,493
990,27.0,262
991,5.0,154
992,30.0,269
993,56.0,417
994,-15.0,43
995,15.0,208
996,-15.0,43
997,-15.0,43
998,21.0,235
999,69.0,468
1000,55.0,417
1001,-10.0,71
1002,10.0,168
1003,32.0,288
1004,41.0,341
1005,-5.0,99
1006,-14.0,43
1007,0.0,127
1008,18.0,208
1009,0.0,127
1010,55.0,417
1011,67.0,468
1012,10.0,181
1013,32.0,288
1014,36.0,314
1015,12.0,181
1016,31.0,288
1017,36.0,314
1018,30.0,288
1019,16.0,208
1020,0.0,127
1021,0.0,127
1022,76.0,518
1023,-10.0,71
1024,-10.0,68
1025,30.0,288
1026,25.0,235
1027,62.0,443
1028,59.0,417
1029,76.0,493
1030,-5.0,99
1031,-5.0,99
1032,10.0,181
1033,71.0,493
1034,42.0,341
1035,28.0,262
1036,63.0,443
1037,-10.0,71
1038,-5.0,99
1039,55.0,417
1040,21.0,235
1041,41.0,341
1042,17.0,208
1043,6.0,154
1044,13.0,181
1045,-5.0,99
1046,-10.0,71
1047,0.0,110
1048,11.0,181
1049,55.0,417
1050,0.0,127
1051,22.0,235
1052,0.0,127
1053,25.0,262
1054,-15.0,43
1055,-9.0,71
1056,55.0,417
1057,-5.0,99
1058,94.0,591
1059,60.0,443
1060,21.0,235
1061,-15.0,43
1062,2.0,127
1063,15.0,208
1064,0.0,127
1065,-15.0,43
1066,1.0,127
1067,50.0,392
1068,-5.0,99
1069,64.0,443
1070,5.0,154
1071,22.0,235
1072,6.0,154
1073,-15.0,43
1074,0.0,127
1075,-10.0,71
1076,25.0,262
1077,15.0,208
1078,-10.0,71
1079,0.0,127
1080,22.0,235
1081,11.0,181
1082,65.0,452
1083,-15.0,43
1084,17.0,208
1085,11.0,181
1086,31.0,288
1087,11.0,181
1088,-9.0,71
1089,1.0,127
1090,16.0,208
1091,42.0,341
1092,1.0,127
1093,-4.0,99
1094,-15.0,43
1095,0.0,127
1096,60.0,443
1097,-15.0,43
1098,35.0,314
1099,36.0,314
1100,-5.0,99
1101,7.0,154
1102,21.0,235
1103,40.0,341
1104,-15.0,43
1105,-5.0,99
1106,27.0,262
1107,0.0,127
1108,-14.0,43
1109,0.0,127
1110,52.0,392
1111,-4.0,99
1112,-15.0,43
1113,-10.0,71
1114,-5.0,99
1115,51.0,392
1116,20.0,235
1117,32.0,265
1118,20.0,235
1119,0.0,127
1120,-10.0,71
1121,5.0,154
1122,35.0,314
1123,57.0,417
1124,21.0,235
1125,-15.0,24
1126,90.0,591
1127,1.0,127
1128,-5.0,99
1129,-10.0,71
1130,13.0,181
1131,20.0,235
1132,-15.0,43
1133,45.0,366
1134,43.0,341
